2023-02-24 16:47:39,283 INFO    MainThread:756 [wandb_setup.py:_flush():68] Configure stats pid to 756
2023-02-24 16:47:39,284 INFO    MainThread:756 [wandb_setup.py:_flush():68] Loading settings from C:\Users\liamb\.config\wandb\settings
2023-02-24 16:47:39,284 INFO    MainThread:756 [wandb_setup.py:_flush():68] Loading settings from C:\Users\liamb\Documents\graph4stackoverflow\embeddings\wandb\settings
2023-02-24 16:47:39,284 INFO    MainThread:756 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-24 16:47:39,284 INFO    MainThread:756 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'embeddings\\hetero_GAT.py', 'program': 'C:\\Users\\liamb\\Documents\\graph4stackoverflow\\embeddings\\hetero_GAT.py'}
2023-02-24 16:47:39,284 INFO    MainThread:756 [wandb_init.py:_log_setup():492] Logging user logs to C:\Users\liamb\Documents\graph4stackoverflow\embeddings\wandb\run-20230224_164739-0prcbjc3\logs\debug.log
2023-02-24 16:47:39,285 INFO    MainThread:756 [wandb_init.py:_log_setup():493] Logging internal logs to C:\Users\liamb\Documents\graph4stackoverflow\embeddings\wandb\run-20230224_164739-0prcbjc3\logs\debug-internal.log
2023-02-24 16:47:39,285 INFO    MainThread:756 [wandb_init.py:init():532] calling init triggers
2023-02-24 16:47:39,285 INFO    MainThread:756 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {}
2023-02-24 16:47:39,285 INFO    MainThread:756 [wandb_init.py:init():588] starting backend
2023-02-24 16:47:39,285 INFO    MainThread:756 [wandb_init.py:init():592] setting up manager
2023-02-24 16:47:39,290 INFO    MainThread:756 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-02-24 16:47:39,294 INFO    MainThread:756 [wandb_init.py:init():599] backend started and connected
2023-02-24 16:47:39,295 INFO    MainThread:756 [wandb_init.py:init():687] updated telemetry
2023-02-24 16:47:39,358 INFO    MainThread:756 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-24 16:47:40,682 INFO    MainThread:756 [wandb_run.py:_on_init():2134] communicating current version
2023-02-24 16:47:40,750 INFO    MainThread:756 [wandb_run.py:_on_init():2143] got version response 
2023-02-24 16:47:40,750 INFO    MainThread:756 [wandb_init.py:init():775] starting run threads in backend
2023-02-24 16:47:40,962 INFO    MainThread:756 [wandb_run.py:_console_start():2114] atexit reg
2023-02-24 16:47:40,962 INFO    MainThread:756 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-24 16:47:40,962 INFO    MainThread:756 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-24 16:47:40,962 INFO    MainThread:756 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-24 16:47:40,963 INFO    MainThread:756 [wandb_init.py:init():817] run started, returning control to user process
2023-02-24 16:47:46,931 WARNING MsgRouterThr:756 [router.py:message_loop():77] message_loop has been closed
